time_ns,generation,batch_active,queue_current_bytes,queue_predicted_bytes,pending_excess_bytes,arrival_wire_bps,service_wire_bps,base_target_bps,boost_requested_bps,boost_effective_bps,boost_lease_expire_ns,drain_bps,aggregate_requested_bps,aggregate_applied_bps,zone,veto_reason,background_applied_bps,incast_applied_bps
5000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
#MANIFEST,link_id=0,steady_cap_fraction=1.000000,rho=0.900000,bmax_ratio=0.020000,bmax_wire_bps=8000000000,qtarget_ratio=0.200000,qtarget_bytes=800000,q_low=1999999,q_high=3755999,q_red=3935999,q_abs=3999999,h_eff_us=12.000,queue_band_v2=1,queue_band_v1=0,migration=1,steady_cap=1,seed=2
10000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
15000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
20000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
25000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
30000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
35000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
40000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
45000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
50000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
55000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
60000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
65000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
70000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
75000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
80000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
85000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
90000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
95000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
100000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
105000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
110000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
115000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
120000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
125000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
130000,0,0,0,0,0,0,400000000000,0,0,0,0,0,0,0,GREEN,0,0,0
